ticker,security_type,reason,signals
VINP,common_stock,profile_fields_present,30
VIR,common_stock,profile_fields_present,5
VIRC,common_stock,profile_fields_present,9
VITL,common_stock,profile_fields_present,49
VIVO,common_stock,profile_fields_present,4
VKTX,common_stock,profile_fields_present,9
VLGEA,common_stock,profile_fields_present,61
VLN,common_stock,profile_fields_present,15
VMCA,spac_or_blank_check,industry_description:SHELL_COMPANIES+BUSINESS_COMBINATION,58
VMD,common_stock,profile_fields_present,13
VMEO,common_stock,profile_fields_present,29
VMET,common_stock,profile_fields_present,1
VNCE,common_stock,profile_fields_present,8
VNDA,common_stock,profile_fields_present,13
VNT,common_stock,profile_fields_present,27
VOR,common_stock,profile_fields_present,2
VOXR,common_stock,profile_fields_present,42
VPG,common_stock,profile_fields_present,40
VRA,common_stock,profile_fields_present,11
VRCA,common_stock,profile_fields_present,4
VRDN,common_stock,profile_fields_present,17
VRE,common_stock,profile_fields_present,27
VRM,common_stock,profile_fields_present,19
VRN,adr,raw_flag:isAdr,7
VRNA,adr,raw_flag:isAdr,89
VRNS,common_stock,profile_fields_present,17
VRRM,common_stock,profile_fields_present,23
VRTS,common_stock,profile_fields_present,3
VSAC,spac_or_blank_check,name_contains:ACQUISITION CORP,26
VSEC,common_stock,profile_fields_present,63
VSTM,common_stock,profile_fields_present,7
VSTO,common_stock,profile_fields_present,29
VSTS,common_stock,profile_fields_present,19
VTEX,common_stock,profile_fields_present,16
VTOL,common_stock,profile_fields_present,33
VTS,common_stock,profile_fields_present,9
VTSI,common_stock,profile_fields_present,16
